comment_id,comment_text,sentiment,category,emoji_count,hashtag_count,exclaim_count,word_count,char_count,likes,follower_bin
1,Just stop already #instafood,Negative,food,0,1,0,4,28,1,2
2,Blessed to see this! #gym,Positive,fitness,0,1,1,5,25,36,0
3,You always deliver 💯,Positive,food,1,0,0,4,20,15,2
4,Super boring honestly,Negative,fashion,0,0,0,3,21,2,0
5,Getting worse every post,Negative,travel,0,0,0,4,24,0,1
6,This is everything ❤️ #skincare,Positive,beauty,0,1,0,5,31,2,1
7,Just stop already,Negative,food,0,0,0,3,17,0,0
8,Different vibe today,Neutral,lifestyle,0,0,0,3,20,10,2
9,Way too much editing #beauty,Negative,beauty,0,1,0,5,28,2,2
10,Can't stop smiling at this 😊,Positive,tech,1,0,0,6,28,14,0
11,So proud of you ❤️ #cricket #football,Positive,sports,0,2,0,7,37,0,2
12,New follower here!,Neutral,fitness,0,0,1,3,18,17,2
13,Super boring honestly,Negative,travel,0,0,0,3,21,5,2
14,Totally unrelatable #ootd,Negative,fashion,0,1,0,3,25,0,0
15,What camera did you use? #vibes #mood,Neutral,lifestyle,0,2,0,7,37,1,1
16,Checking in from Dubai 🇦🇪 #champion,Neutral,sports,0,1,0,6,35,1,2
17,Love your energy!,Positive,lifestyle,0,0,1,3,17,4,0
18,Goals! 🔥🔥,Positive,fitness,2,0,1,2,9,8,0
19,This makes no sense #inspo #mood,Negative,lifestyle,0,2,0,6,32,1,2
20,Obsessed with this look!,Positive,food,0,0,1,4,24,4,2
21,This ruins everything 😤 #glow,Negative,beauty,1,1,0,5,29,2,0
22,Neutral opinion here,Neutral,tech,0,0,0,3,20,0,2
23,Classic style,Neutral,tech,0,0,0,2,13,1,2
24,This is so beautiful!,Positive,beauty,0,0,1,4,21,5,2
25,Love from India 🇮🇳 #skincare #makeup,Neutral,beauty,0,2,0,6,36,3,0
26,Can't stop smiling at this 😊,Positive,fitness,1,0,0,6,28,18,0
27,Checking in from Dubai 🇦🇪,Neutral,travel,0,0,0,5,25,1,2
28,Incredible photo!,Positive,lifestyle,0,0,1,2,17,8,2
29,Completely overrated,Negative,tech,0,0,0,2,20,2,2
30,Obsessed with this look! #football,Positive,sports,0,1,1,5,34,0,0
31,Way too much editing #fashion,Negative,fashion,0,1,0,5,29,2,0
32,Actual goals 🙌 #yummy,Positive,food,1,1,0,4,21,2,2
33,You inspire me every day #adventure #wanderlust,Positive,travel,0,2,0,7,47,0,0
34,You look amazing!,Positive,lifestyle,0,0,1,3,17,35,1
35,How long did this take?,Neutral,food,0,0,0,5,23,16,2
36,Actual goals 🙌,Positive,lifestyle,1,0,0,3,14,19,0
37,Yesss queen 👑,Positive,fashion,1,0,0,3,13,4,1
38,So happy for you!,Positive,sports,0,0,1,4,17,1,0
39,Goals! 🔥🔥,Positive,fitness,2,0,1,2,9,13,2
40,Added to my list,Neutral,fitness,0,0,0,4,16,2,0
41,You inspire me every day #sports #cricket,Positive,sports,0,2,0,7,41,1,1
42,This warmed my heart 🥰,Positive,lifestyle,1,0,0,5,22,8,1
43,Such a vibe ✨ #sports,Positive,sports,0,1,0,5,21,0,2
44,Just stop already #foodporn,Negative,food,0,1,0,4,27,7,1
45,Goals! 🔥🔥,Positive,travel,2,0,1,2,9,3,0
46,New follower here! #fitlife,Neutral,fitness,0,1,1,4,27,5,0
47,Just saw this on explore,Neutral,fashion,0,0,0,5,24,1,2
48,This warmed my heart 🥰 #makeup #skincare,Positive,beauty,1,2,0,7,40,8,1
49,10/10 content! #tech,Positive,tech,0,1,1,3,20,9,1
50,Terrible quality tbh,Negative,fitness,0,0,0,3,20,0,2
51,You are so inspiring!,Positive,beauty,0,0,1,4,21,41,1
52,Yesss queen 👑,Positive,sports,1,0,0,3,13,17,2
53,How long did this take?,Neutral,food,0,0,0,5,23,14,1
54,Passing through 👀,Neutral,fitness,1,0,0,3,17,11,1
55,Such a vibe ✨ #workout,Positive,fitness,0,1,0,5,22,10,0
56,This is so fake,Negative,tech,0,0,0,4,15,7,0
57,Totally in love! #vibes #dailylife,Positive,lifestyle,0,2,1,5,34,1,0
